onset	duration	transcript
4.83	4.59	So, await has a couple of different meanings to it.
11.54	14.97	It can mean to wait for a period of time, or if it's spelled differently, I suppose you could also think about how [weight] is also a size of something.
27.75	4.53	The other day I was performing at a hospital with my friend, Andres.
32.5	14.62	And he's from Colombia, so he doesn't speak English very well, so sometimes whenever I say words that have multiple meanings, I have to specify which meaning that I mean.
51.96	3.25	I wonder what I'm going to get for lunch after this.
57.29	1.73	If I go home, I could cook.
59.74	4.72	I have some teriyaki chicken in my freezer that I can make with some white rice.
65.74	2.12	I wonder what my dog is doing at my apartment.
68.75	3.67	He's probably just asleep on my couch waiting for me to get back.
74.14	8.55	I thought about putting a camera in my apartment just so I can see what he gets up to whenever I'm not home, but I've never done it.
82.76	2.23	I would imagine that he just sleeps the entire time.
85.88	5.81	Sometimes whenever I leave my apartment, he's in the same spot that he's in whenever I get back.
92.93	3.48	So, probably just stays there and waits.
97.63	14.59	Sometimes I feel like even if he moves around, he forgets that he has water in his bowl, because whenever I get back, he immediately chugs like half of the water, even though he has access to it throughout the entire day and can drink water.
114.84	0.9	I'm kind of thirsty.
115.97	5.44	Maybe it's because I drank two cups of tea this morning and only a little bit of water.
122.9	5.05	So, maybe I should do a better job at staying hydrated.
129.74	11.32	Tonight, I'm going to see a concert, and there's this guitarist that's coming to play named Stephanie Jones, along with three, maybe four other guitarists.
141.88	7.6	I don't know their work, so I'm hoping that I'll be able to hear more of Stephanie Jones playing than the other guitarists.
150.32	10.35	Not because they may not be as skilled as Stephanie Jones, but just because I'm purchasing a ticket mostly to see her perform.
161.31	5.65	And because she lives in the UK, this might be the only time that I'll ever see her perform in the United States.
167.48	3.11	I think that this is the first time that she's performed in the US.
173.87	14.65	I was buying tickets for the concert previously this week, and the website didn't allow me to purchase tickets in a spot where there would be what they referred to as orphan seats, meaning that there is a seat that was left all by itself.
189.0	9.79	I suppose that this was so that they could avoid having empty gaps in their seats, so that people would be more likely to purchase certain ones.
199.42	20.62	This was a little annoying, because the seat that I wanted to purchase that would have caused the orphan seat was a little bit closer to the front of the stage, but instead, because of their role, I had to purchase seats that were four rows behind them, and on the other side of the auditorium.
221.59	7.35	If I had purchased three seats instead of two seats, then I could have had the seats that were closer to the front, but that's fine, I guess.
230.22	8.81	I'm going with my friend Veronica, and her and I have rehearsal tomorrow at 12 o'clock.
