onset	duration	transcript
1.14	1.73	I feel like I'm an idiot for not...
3.86	2.71	for thinking that volume was the machine.
7.19	0.93	I'm starting too early.
8.12	0.87	That was the one thing that...
9.47	0.36	All right, we're good.
10.35	4.1	Um, but, I guess in terms of a different topic, I have to pick up grad school pretty soon.
14.91	0.78	It's kind of stressful.
17.65	5.32	But, it's weird because I guess you're deciding the next six years of your life, but then you're not getting paid as much as people around you.
23.13	1.4	But at least you don't have to pay for school.
24.93	1.76	Like if you go to med school, you have to pay for school.
26.75	0.62	That kind of sucks.
28.37	2.3	I see also the advantage of no residency.
31.19	1.38	Residency is kind of brutal.
33.63	7.38	I know I see postdocs are pretty hard, but like, postdocs are a lot easier than doing residency work 90 plus hours a week.
45.07	1.92	I'm pretty glad I made the switch out of pre-med.
48.19	1.64	I think most people in school come in pre-med.
50.87	1.1	They'll stick with pre-med.
52.59	3.02	And they get miserable because they try to become a doctor.
58.71	1.72	Except that you weren't a doctor, it's pretty good.
61.51	1.28	I guess classes are going okay.
63.39	0.98	It's my last semester.
64.53	2.06	It's kind of dumb that I took so many classes.
67.85	1.3	Didn't get a chance to take a break.
70.23	1.22	And like, that was pretty stupid.
71.85	1.06	I don't know why I did that.
74.47	1.18	But classes are going okay.
76.77	1.9	I guess, I don't know what else to talk about.
79.27	2.08	My homework is pretty hard.
82.17	2.3	Maybe it's also because I work a lot less.
84.97	1.18	I'm almost done.
88.23	0.62	That's kind of bad, but…
91.85	1.66	I guess research also takes a long time.
95.37	1.72	Also, reading less papers is pretty bad.
98.65	0.44	But I guess it's good to...
99.87	2.14	I'll get some second author and first author publications.
102.93	0.56	Which is nice.
104.31	3.48	It's always a good look for grad school, PhD programs.
109.15	1.1	But beyond that, I don't know.
111.51	1.06	Social life is fine.
113.47	1.12	I'm just gonna miss Hopkins
114.75	0.9	I'm going to leave.
116.05	1.26	It's kind of sad.
117.63	1.08	It's a different topic.
120.57	1.48	I'm watching the World Baseball Classic.
122.87	3.48	It's USA vs Japan in the last stage.
127.41	1.14	The US will probably win.
129.31	1.16	Japan is pretty good.
130.81	3.44	I would say Shohei Otani is pretty good at baseball.
135.85	0.66	I'm a little bit sad.
137.99	4.2	The countries I thought would do well, like the Dominican Republic and South Korea, are pretty horrible.
143.07	1.3	They lost in the group stage.
144.39	2.2	I'm a big fan of baseball.
147.07	2.38	I think baseball will do well in the grand stage.
149.61	1.34	It's pretty good.
151.87	1.1	This is actually pretty hard.
153.99	5.36	Thinking about thinking and verbalizing your thoughts is really hard after you get past two minutes.
159.83	1.34	Maybe other people have said this too.
161.77	3.24	I'm kind of scrounging my brain for what to talk about.
165.41	1.66	I'm also trying to make sure to keep still.
167.51	1.28	I hope I'm keeping still.
169.13	1.68	I'm kind of moving my jaw, not my face.
173.35	1.84	I'm pretty excited to make money.
175.63	1.14	I bought myself a new air fryer.
178.59	5.02	Before I actually made the money, I bought myself an air fryer with the research money.
184.35	1.0	I guess I'll make some stuff.
186.74	1.35	I don't know, air fryers are really cool.
188.25	3.46	It's like an oven, but it's less time and better convection.
192.49	2.3	Air fryers are pretty nice.
202.63	1.28	I've never broken a bone.
204.49	1.12	I guess this is a story.
207.37	2.88	I'm trying to make it as a different topic as possible.
211.13	1.44	Actually, I did break my bone once.
213.99	0.92	One time I ran into a wall.
215.55	1.9	But that was intentional, so I don't know why I did that.
217.71	3.16	When I was seven years old, I fractured my ankle.
221.45	2.3	I think that's one of the reasons I'm pretty short now.
225.93	0.84	I guess now I'm pretty short.
227.27	2.55	Not really that short, but shorter than average.
229.82	2.57	I think I fractured my ankle when I was seven and still growing.
233.69	2.4	I think that's the reason why I'm not 5'10 or 5'11.
236.55	1.96	I'm just a small 5'7.
