onset	duration	transcript
9.36	9.11	So, today, I am here to do this MRI scan.
19.15	2.82	It's been a really long time since I had an MRI.
22.45	0.82	Not that long.
23.61	2.16	I had one maybe three years ago.
28.83	6.82	But back then, it was because I had a potential brain tumor, but thank goodness that was not true.
36.97	7.01	That reminds me, I spent a lot of time at the hospital during COVID because of this potential brain tumor.
44.01	2.94	We weren't sure what the mass was in my brain, but it turned out to be fine.
46.98	4.09	It was just a regular brain mass.
52.43	3.24	That reminds me of my mom, actually.
55.97	14.4	During COVID, at the hospital, you can only spend one or you can only have one person come into your room with you, and that same person has to be the one that comes in every single time.
70.4	1.21	You can't change the person.
73.39	5.74	Apparently, my mom and dad literally went to war about who would be the person, and my mom won.
79.67	4.6	So, I spent a lot of time with my mom at the hospital during COVID.
84.87	8.76	Surprisingly, no one in my family actually contracted COVID during the entire pandemic, even though I was in the hospital for a very long time.
95.63	12.38	That came as a surprise to all of us and also the hospital staff because, actually, our nurses had contracted COVID twice during the whole thing.
108.41	1.22	So, that was interesting.
110.41	7.54	Right now, I feel a little nervous, but that's normal.
118.95	2.52	I'm a nervous type of person.
125.19	2.76	I'm reminded of how loud the MRI machine is.
127.98	8.11	I don't recall it being this loud when I was getting my MRI three years ago, but I guess it is this loud.
136.97	10.76	After this is over, I'm probably going to go home and FaceTime my mom to tell her about this whole experience.
148.49	6.44	And then she will probably remind me that it's probably very normal and that that was probably what happened three years ago.
154.95	2.8	I just don't remember correctly.
158.67	4.38	And then I will most likely make lunch at home.
163.29	2.23	I was supposed to have lunch with a friend today,
165.58	2.43	but she had an emergency and had to go down home.
168.97	1.72	So, we will not be having lunch together.
170.91	2.56	And then tomorrow is Saturday.
174.19	4.3	Surprise, I have my cousins coming over from Australia.
179.15	1.98	They will be staying for only one day.
181.17	7.22	They're actually in the United States for a tour, and they're near the DC region and they have two days of leisure time.
188.49	3.7	So, they decided to rent a car and come visit me.
194.41	1.54	But I'm not really sure what we're going to do for just a day.
196.95	2.58	There's not a lot to do in Baltimore, actually.
201.37	2.76	The last time they were over, we already went to DC.
204.16	4.31	And they're here on a tour, so they already probably visited DC a lot.
210.35	3.56	So, maybe we'll go to Fells Point, I'm not really sure.
217.47	12.62	I also realized just now that I have a Stat assignment due on Sunday that I haven't even started.
230.35	4.3	Now that I think about it, that's a little worrisome, but I think I'll be okay.
235.21	2.5	It's just a draft.
239.87	10.0	Oh, tonight, I have to email some of my professors to let them know that I might be missing class next week for some interviews.
252.19	2.12	I'm really nervous about these interviews, actually.
254.33	6.72	I've been getting so many rejections from internships that I'm no longer sure if I'm capable of getting one.
261.51	2.36	But hopefully, that turns out fine.
268.29	2.54	This noise is louder than I thought it would be.
274.15	9.1	When the semester is over, I am actually planning a trip to my home country.
284.97	13.36	But I'm not sure what the logistics are yet, because the tickets to Korea have been so expensive that I have been scared to swipe my card and buy the tickets.
299.73	11.32	Hopefully though, I heard that two weeks before, sometimes they'll drop the prices suddenly because they have to sell out all the tickets.
311.51	7.92	So, I'm putting my risk into all of this, I'm waiting for two weeks before I decide to go.
321.71	3.73	Which is kind of disconcerting because I actually have finals during that time.
325.71	1.46	But hopefully, it'll work out.
328.57	6.48	Speaking of finals, I have finals all the way up to the last day of finals period…
335.08	5.32	…which is really annoying because I usually like to go home early.
340.89	3.2	But, I mean, I don't really have a choice, do I?
346.21	4.08	I also have a midterm coming up, actually, this Thursday.
350.93	8.16	It's for a class that's a little bit more business-like or like a business class, which is really cool because I've never taken a business class before.
359.63	1.95	And I'm actually really enjoying it.
362.05	5.02	And surprisingly, it's actually my highest score or my highest grade so far this semester.
