onset	duration	transcript
1.65	3.68	"I'm thinking about, ""What am I going to do after this scan?"""
6.15	2.53	I definitely need to go get a coffee,
9.22	3.67	because my sleep schedule has been really screwed up since it's spring break.
13.69	8.22	I've been going to sleep a little bit too late, like 6 am and waking up at 10 am, and that's not good before the semester starts.
22.29	4.1	So, I'll get a coffee and then I'll go home, and then I need to catch up on work.
27.27	5.68	I need to do quality assurance for Elders Resilience, but I don't really know how to get started on that.
34.07	5.02	So, after I do that, maybe I'll watch some TV while I have lunch.
40.05	3.9	Maybe I'll make a good chicken wrap with Thai sauce.
44.51	3.7	And then, maybe, what should I meal-prep for the rest of the week?
48.57	5.86	I could definitely do some grain bowls or some salads or some sandwiches.
54.92	6.45	But I'm scared that if I meal-prep on Sundays, I'll get too bored of the foods Mondays through Fridays.
62.03	1.74	I wonder what TV show I'll watch.
63.79	2.14	I could start watching Criminal Minds again,
66.75	1.68	but it is a little bit boring.
68.63	2.1	But at least, on Hulu, there's advertisements
70.86	5.41	so it motivates me to do work in-between the TV show.
77.19	2.41	And then maybe I could start watching The Last of Us,
79.66	3.65	because I've heard it's pretty good and Pedro Pascal is really good in it.
84.37	4.8	Or if I want to see Pedro Pascal, maybe I'll just start watching Game of Thrones again.
89.85	4.22	But it takes too long, actually, to get to the good parts.
94.43	2.4	So maybe, I won't watch Game of Thrones.
97.51	5.44	And then after I watch TV and do quality assurance work, maybe I'll exercise.
103.49	5.9	Maybe I'll start running again, because I took a break during spring break and I need to prepare for this 10K.
109.61	1.88	And I feel like I'm out of shape again.
112.49	4.38	But it's raining, so I can't run outside, which means I'll have to run on the treadmill.
117.63	5.2	But the only treadmill that's going to be open is in Cooley or in my apartment building.
123.31	2.62	It's going to be too late to go to Bloomberg.
126.09	3.94	And if I go to Cooley, then it's fully underground and that's no fun running.
130.65	4.76	But if I go to 929, the treadmills aren't as good, so maybe I won't want to do that.
137.01	2.42	So, maybe I'll just do abs instead of running.
139.55	2.44	Then after I work out, I need to shower.
142.69	4.84	I need to make sure I have a banana, so that my muscles don't cramp up.
148.29	8.82	And then I should probably do more work, so that I can log more hours before this timesheet's period is up and so that I can get paid on time.
157.77	7.26	I also need to do the readings for Methods in Formative Research and Participant-Centered Design or whatever it's called.
165.13	4.28	I hear it's a really tough class, Mondays, Wednesdays, and Fridays.
169.83	5.17	Hopefully, the readings aren't too long, so that I can actually get them done before the end of the day.
175.04	1.93	And that way, I can rest tomorrow.
177.85	1.68	Tomorrow, I have to go to Safeway.
180.41	2.46	I need to get a lot of fruit and vegetables.
